OBJECTID,point,X,Y
655,1,114.1427287,30.39545929
656,1,114.142728,30.39545859
657,1,114.1427273,30.39545789
658,1,114.1427265,30.39545719
659,1,114.1427258,30.39545649
660,1,114.1427251,30.39545579
661,1,114.1427244,30.3954551
662,1,114.1427237,30.3954544
663,1,114.142723,30.3954537
664,1,114.1427223,30.395453
665,1,114.1427215,30.3954523
666,1,114.1427208,30.3954516
667,1,114.1427201,30.3954509
668,1,114.1427194,30.39545021
669,1,114.1427187,30.39544951
670,1,114.142718,30.39544881
671,1,114.1427172,30.39544811
672,1,114.1427165,30.39544741
673,1,114.1427158,30.39544671
674,1,114.1427151,30.39544602
675,1,114.1427144,30.39544532
676,1,114.1427137,30.39544462
677,1,114.1427129,30.39544392
678,1,114.1427122,30.39544322
679,1,114.1427115,30.39544252
680,1,114.1427108,30.39544182
681,1,114.1427101,30.39544113
682,1,114.1427094,30.39544043
683,1,114.1427087,30.39543973
684,1,114.1427079,30.39543903
685,1,114.1427072,30.39543833
686,1,114.1427065,30.39543763
687,1,114.1427058,30.39543694
688,1,114.1427051,30.39543624
689,1,114.1427044,30.39543554
690,1,114.1427036,30.39543484
691,1,114.1427029,30.39543414
692,1,114.1427022,30.39543344
693,1,114.1427015,30.39543275
694,1,114.1427008,30.39543205
695,1,114.1427001,30.39543135
696,1,114.1426993,30.39543065
697,1,114.1426986,30.39542995
698,1,114.1426979,30.39542925
699,1,114.1426972,30.39542855
700,1,114.1426965,30.39542786
701,1,114.1426958,30.39542716
702,1,114.1426951,30.39542646
703,1,114.1426943,30.39542576
704,1,114.1426936,30.39542506
705,1,114.1426929,30.39542436
706,1,114.1426922,30.39542367
707,1,114.1426915,30.39542297
708,1,114.1426908,30.39542227
709,1,114.14269,30.39542157
710,1,114.1426893,30.39542087
711,1,114.1426886,30.39542017
712,1,114.1426879,30.39541947
713,1,114.1426872,30.39541878
714,1,114.1426865,30.39541808
715,1,114.1426858,30.39541738
716,1,114.142685,30.39541668
717,1,114.1426843,30.39541598
718,1,114.1426836,30.39541528
719,1,114.1426829,30.39541459
720,1,114.1426822,30.39541389
721,1,114.1426815,30.39541319
722,1,114.1426807,30.39541249
723,1,114.14268,30.39541179
724,1,114.1426793,30.39541109
725,1,114.1426786,30.3954104
726,1,114.1426779,30.3954097
727,1,114.1426772,30.395409
728,1,114.1426764,30.3954083
729,1,114.1426757,30.3954076
730,1,114.142675,30.3954069
731,1,114.1426743,30.3954062
732,1,114.1426736,30.39540551
733,1,114.1426729,30.39540481
734,1,114.1426722,30.39540411
735,1,114.1426714,30.39540341
736,1,114.1426707,30.39540271
737,1,114.14267,30.39540201
738,1,114.1426693,30.39540132
739,1,114.1426686,30.39540062
740,1,114.1426679,30.39539992
741,1,114.1426671,30.39539922
742,1,114.1426664,30.39539852
743,1,114.1426657,30.39539782
744,1,114.142665,30.39539712
745,1,114.1426643,30.39539643
746,1,114.1426636,30.39539573
747,1,114.1426629,30.39539503
748,1,114.1426621,30.39539433
749,1,114.1426614,30.39539363
750,1,114.1426607,30.39539293
751,1,114.14266,30.39539224
752,1,114.1426593,30.39539154
753,1,114.1426586,30.39539084
754,1,114.1426578,30.39539014
755,1,114.1426571,30.39538944
756,1,114.1426564,30.39538874
757,1,114.1426557,30.39538805
758,1,114.142655,30.39538735
759,1,114.1426543,30.39538665
760,1,114.1426535,30.39538595
761,1,114.1426528,30.39538525
762,1,114.1426521,30.39538455
763,1,114.1426514,30.39538385
764,1,114.1426507,30.39538316
765,1,114.14265,30.39538246
766,1,114.1426493,30.39538176
767,1,114.1426485,30.39538106
768,1,114.1426478,30.39538036
769,1,114.1426471,30.39537966
770,1,114.1426464,30.39537897
771,1,114.1426457,30.39537827
772,1,114.142645,30.39537757
773,1,114.1426442,30.39537687
774,1,114.1426435,30.39537617
775,1,114.1426428,30.39537547
776,1,114.1426421,30.39537477
777,1,114.1426414,30.39537408
778,1,114.1426407,30.39537338
779,1,114.1426399,30.39537268
780,1,114.1426392,30.39537198
781,1,114.1426385,30.39537128
782,1,114.1426378,30.39537058
783,1,114.1426371,30.39536989
784,1,114.1426364,30.39536919
785,1,114.1426357,30.39536849
786,1,114.1426349,30.39536779
787,1,114.1426342,30.39536709
788,1,114.1426335,30.39536639
789,1,114.1426328,30.3953657
790,1,114.1426321,30.395365
791,1,114.1426314,30.3953643
792,1,114.1426306,30.3953636
793,1,114.1426299,30.3953629
794,1,114.1426292,30.3953622
795,1,114.1426285,30.3953615
796,1,114.1426278,30.39536081
797,1,114.1426271,30.39536011
798,1,114.1426264,30.39535941
799,1,114.1426256,30.39535871
800,1,114.1426249,30.39535801
801,1,114.1426242,30.39535731
802,1,114.1426235,30.39535662
803,1,114.1426228,30.39535592
804,1,114.1426221,30.39535522
805,1,114.1426213,30.39535452
806,1,114.1426206,30.39535382
807,1,114.1426199,30.39535312
808,1,114.1426192,30.39535242
809,1,114.1426185,30.39535173
810,1,114.1426178,30.39535103
811,1,114.142617,30.39535033
812,1,114.1426163,30.39534963
813,1,114.1426156,30.39534893
814,1,114.1426149,30.39534823
815,1,114.1426142,30.39534754
816,1,114.1426135,30.39534684
817,1,114.1426128,30.39534614
818,1,114.142612,30.39534544
819,1,114.1426113,30.39534474
820,1,114.1426106,30.39534404
821,1,114.1426099,30.39534335
822,1,114.1426092,30.39534265
823,1,114.1426085,30.39534195
824,1,114.1426077,30.39534125
825,1,114.142607,30.39534055
826,1,114.1426063,30.39533985
827,1,114.1426056,30.39533915
828,1,114.1426049,30.39533846
829,1,114.1426042,30.39533776
830,1,114.1426034,30.39533706
831,1,114.1426027,30.39533636
832,1,114.142602,30.39533566
833,1,114.1426013,30.39533496
834,1,114.1426006,30.39533427
835,1,114.1425999,30.39533357
836,1,114.1425992,30.39533287
837,1,114.1425984,30.39533217
838,1,114.1425977,30.39533147
839,1,114.142597,30.39533077
840,1,114.1425963,30.39533007
841,1,114.1425956,30.39532938
842,1,114.1425949,30.39532868
843,1,114.1425941,30.39532798
844,1,114.1425934,30.39532728
845,1,114.1425927,30.39532658
846,1,114.142592,30.39532588
